Epoch,Loss,Type,Accuracy,LearningRate,,,,
1,0.2828,Training,0.85,3.00E-05,,,,
2,0.155,Training,0.8,3.00E-05,,,,
3,0.0784,Training,0.85,3.00E-05,,,,
1,0.6945,Training,0.4,3.20E-05,,,,
2,0.6817,Training,0.75,3.20E-05,,,,
3,0.586,Training,0.75,3.20E-05,,,,
1,0.715863,Val,0.4,3.20E-05,,,,
2,0.635735,Val,0.75,3.20E-05,,,,
3,0.618275,Val,0.75,3.20E-05,,,,
1,0.6748,Training,0.6,4.00E-05,,,,
2,0.5911,Training,0.85,4.00E-05,,,,
3,0.4659,Training,0.85,4.00E-05,,,,
1,0.399908,Val,0.85,3.00E-05,,,,
2,0.34958,Val,0.8,3.00E-05,,,,
3,0.361019,Val,0.85,3.00E-05,,,,
1,0.655103,Val,0.6,4.00E-05,,,,
2,0.538775,Val,0.85,4.00E-05,,,,
3,0.484448,Val,0.85,4.00E-05,,,,
1,0.4592,Training,0.75,3.40E-05,,,,
2,0.3059,Training,0.8,3.40E-05,,,,
3,0.1277,Training,0.8,3.40E-05,,,,
1,0.447538,Val,0.75,3.40E-05,,,,
2,0.367063,Val,0.8,3.40E-05,,,,
3,0.357885,Val,0.8,3.40E-05,,,,
1,0.1092,Training,0.8,3.60E-05,,,,
2,0.0636,Training,0.85,3.60E-05,,,,
3,"0.011000	",Training,0.9,3.60E-05,,,,
1,0.599265,Val,0.8,3.60E-05,,,,
2,0.48561,Val,0.85,3.60E-05,,,,
3,0.495588,Val,0.9,3.60E-05,,,,
1,0.0136,Training,0.75,3.80E-05,,,,
2,0.2103,Training,0.85,3.80E-05,,,,
3,0.002,Training,0.85,3.80E-05,,,,
1,1.254525,Val,0.75,3.80E-05,,,,
2,0.740347,Val,0.85,3.80E-05,,,,
3,0.97489,Val,0.85,3.80E-05,,,,
,,,,,,,,
,,,,,,,,
,,"		",,,,,,